Symbol,Exchange,PrimaryMkt,SecurityType,MaxLots,LotSize,BasePrice,ADV,RIC,BSYM,TKR,CUSIP,GSS,SEDOL,ISIN
32,XHKG,Y,CS,3000,1000.0,10.48,212542.0,0032.HK,"32 HK",00032,227990132,HK32,6235367,HK0032009356
33,XHKG,Y,CS,3000,2000.0,0.24,,0033.HK,"33 HK",00033,9HH17K094,HK33,B84ZWG6,KYG4396T1031
34,XHKG,Y,CS,3000,1000.0,7.06,993078.0,0034.HK,"34 HK",00034,300990330,HK34,6491998,HK0034000254
35,XHKG,Y,CS,3000,1000.0,2.34,1900594.0,0035.HK,"35 HK",00035,307990101,HK35,6331555,KYG3307Z1090
36,XHKG,Y,CS,3000,3000.0,0.72,183000.0,0036.HK,"36 HK",00036,Y24433107,HK36,B05NZ53,HK0036029863
37,XHKG,Y,CS,3000,2000.0,0.43,137000.0,0037.HK,"37 HK",00037,425997525,HK37,6331395,HK0037039283
38,XHKG,Y,CS,3000,2000.0,4.01,4074459.0,0038.HK,"38 HK",00038,145990008,HK38,6002895,CNE100000320
39,XHKG,Y,CS,3000,8000.0,0.44,,0039.HK,"39 HK",00039,9HH20E0D4,HK39,BVYT1Z1,KYG2117W1087
40,XHKG,Y,CS,3000,1000.0,0.78,88634.0,0040.HK,"40 HK",00040,380990432,HK40,6375735,HK0040000298
41,XHKG,Y,CS,3000,1000.0,29.15,976578.0,0041.HK,"41 HK",00041,390990380,HK41,6387406,BMG4069C1486
42,XHKG,Y,CS,3000,2000.0,2.35,263655.0,0042.HK,"42 HK",00042,664990108,HK42,6618496,CNE1000003V0
43,XHKG,Y,CS,3000,2000.0,0.80,3266017.0,0043.HK,"43 HK",00043,G71507100,HK43,6693512,BMG715071343
44,XHKG,Y,CS,3000,400.0,50.10,26020.0,0044.HK,"44 HK",00044,438990152,HK44,6435264,HK0044000302
45,XHKG,Y,CS,3000,500.0,8.34,338773.0,0045.HK,"45 HK",00045,438990194,HK45,6436386,HK0045000319
46,XHKG,Y,CS,3000,2000.0,2.55,164963.0,0046.HK,"46 HK",00046,853997823,HK46,6115113,BMG2335C1082
47,XHKG,Y,CS,3000,4000.0,0.10,259250.0,0047.HK,"47 HK",00047,9HH0EBLH7,HK47,B2RB6F6,KYG463AM1037
48,XHKG,Y,CS,3000,10000.0,0.24,,0048.HK,"48 HK",00048,9HH1KYEN3,HK48,BFZBVH6,KYG211351195
50,XHKG,Y,CS,3000,1000.0,9.02,96273.0,0050.HK,"50 HK",00050,438990269,HK50,6435833,HK0050000345
51,XHKG,Y,CS,3000,1000.0,13.16,18111.0,0051.HK,"51 HK",00051,411990187,HK51,6408954,HK0051000351
52,XHKG,Y,CS,3000,500.0,26.50,257958.0,0052.HK,"52 HK",00052,303990139,HK52,6543048,BMG3305Y1619
53,XHKG,Y,CS,3000,1000.0,83.50,36948.0,0053.HK,"53 HK",00053,237990114,HK53,6390363,BMG420981224
54,XHKG,Y,CS,3000,500.0,24.20,685663.0,0054.HK,"54 HK",00054,439990169,HK54,6140290,HK0000051067
55,XHKG,Y,CS,3000,10000.0,0.50,,0055.HK,"55 HK",00055,9HH2BFPZ3,HK55,BYXH942,BMG6433R1319
56,XHKG,Y,CS,3000,2000.0,1.46,4967985.0,0056.HK,"56 HK",00056,Y00890106,HK56,6716378,HK0056039545
57,XHKG,Y,CS,3000,2000.0,1.60,149810.0,0057.HK,"57 HK",00057,166990101,HK57,6189646,BMG208741063
58,XHKG,Y,CS,3000,20000.0,0.15,500000.0,0058.HK,"58 HK",00058,552990012,HK58,6172798,BMG858331041
59,XHKG,Y,CS,3000,2000.0,0.56,1206000.0,0059.HK,"59 HK",00059,037990728,HK59,B0FQN92,BMG8220B1054
60,XHKG,Y,CS,3000,2000.0,0.97,18750.0,0060.HK,"60 HK",00060,841993124,HK60,6984562,HK0060028229
61,XHKG,Y,CS,3000,5000.0,0.03,238000.0,0061.HK,"61 HK",00061,013995261,HK61,6163963,BMG6620C1038
62,XHKG,Y,CS,3000,400.0,21.25,72050.0,0062.HK,"62 HK",00062,500990304,HK62,6081162,BMG9031M1082
63,XHKG,Y,CS,3000,1000.0,0.46,133333.0,0063.HK,"63 HK",00063,719902231,HK63,6974369,BMG9703F1005
64,XHKG,Y,CS,3000,2000.0,0.27,7333167.0,0064.HK,"64 HK",00064,9HH00MNH6,HK64,6529822,KYG3926K1031
65,XHKG,Y,CS,3000,4000.0,0.33,,0065.HK,"65 HK",00065,9HH22MQN4,HK65,BYV3G41,KYG4065F1037
66,XHKG,Y,CS,3000,500.0,36.35,2129054.0,0066.HK,"66 HK",00066,515990208,HK66,6290054,HK0066009694
67,XHKG,Y,CS,3000,2000.0,1.58,86370553.0,0067.HK,"67 HK",00067,9HH0KOHO2,HK67,B51Z6D3,KYG2160B1005
68,XHKG,Y,CS,3000,1000.0,6.05,25000.0,0068.HK,"68 HK",00068,521990101,HK68,6509363,HK0068000436
69,XHKG,Y,CS,3000,2000.0,8.66,2948276.0,0069.HK,"69 HK",00069,819990169,HK69,6771032,BMG8063F1068
70,XHKG,Y,CS,3000,10000.0,0.04,507222.0,0070.HK,"70 HK",00070,9EQ00D260,HK70,,HK0000056751
71,XHKG,Y,CS,3000,1000.0,14.26,12600.0,0071.HK,"71 HK",00071,604990150,HK71,6596451,HK0071000456
72,XHKG,Y,CS,3000,2000.0,1.35,242000.0,0072.HK,"72 HK",00072,9HH0M2G84,HK72,B41LZ71,KYG618251089
73,XHKG,Y,CS,3000,1000.0,0.52,2003556.0,0073.HK,"73 HK",00073,9HH0MPU04,HK73,B4R29H6,
75,XHKG,Y,CS,3000,2000.0,3.82,43060.0,0075.HK,"75 HK",00075,728128109,HK75,6692070,BMG987731079
76,XHKG,Y,CS,3000,4000.0,0.12,,0076.HK,"76 HK",00076,9HH1TYVO3,HK76,BRJ7GD5,
77,XHKG,Y,CS,3000,2000.0,1.29,150491.0,0077.HK,"77 HK",00077,9HH01WU36,HK77,B00LMD9,KYG041561088
78,XHKG,Y,CS,3000,2000.0,3.42,371762.0,0078.HK,"78 HK",00078,758990147,HK78,6730204,BMG7475M1626
79,XHKG,Y,CS,3000,4000.0,0.77,132571.0,0079.HK,"79 HK",00079,356892133,HK79,B1GHRM2,BMG2021N1609
80,XHKG,Y,CS,3000,100000.0,0.17,500000.0,0080.HK,"80 HK",00080,9HH0SQJK5,HK80,B68ZD65,KYG211971018
81,XHKG,Y,CS,3000,1000.0,2.38,2150942.0,0081.HK,"81 HK",00081,825990625,HK81,6803247,HK0000065737
82,XHKG,Y,CS,3000,2000.0,0.40,,0082.HK,"82 HK",00082,9HH1RUYM4,HK82,BPFH3X4,BMG9310X1065
83,XHKG,Y,CS,3000,2000.0,11.64,7838242.0,0083.HK,"83 HK",00083,829990175,HK83,6810429,HK0083000502
84,XHKG,Y,CS,3000,1000.0,0.60,476167.0,0084.HK,"84 HK",00084,858990138,HK84,6864448,BMG8465C1073
85,XHKG,Y,CS,3000,2000.0,1.97,602667.0,0085.HK,"85 HK",00085,523995215,HK85,B08ZXW9,BMG2110E1214
86,XHKG,Y,CS,3000,1000.0,4.58,1505679.0,0086.HK,"86 HK",00086,866908106,HK86,6859789,HK0086000525
87,XHKG,Y,CS,3000,2500.0,14.62,193462.0,0087.HK,"87 HK",00087,Y83310113,HK87,6867760,HK0087000532
88,XHKG,Y,CS,3000,1000.0,5.83,138310.0,0088.HK,"88 HK",00088,873990261,HK88,6869852,BMG8659B1054
89,XHKG,Y,CS,3000,1000.0,3.86,21778.0,0089.HK,"89 HK",00089,873990295,HK89,6870928,HK0089000548
90,XHKG,Y,CS,3000,2000.0,1.09,201333.0,0090.HK,"90 HK",00090,9HH0L62R9,HK90,B68DM51,KYG025011076
91,XHKG,Y,CS,3000,50000.0,0.14,,0091.HK,"91 HK",00091,9HH1HKW80,HK91,B8HVX13,HK0000150547
92,XHKG,Y,CS,3000,2000.0,0.11,2203836.0,0092.HK,"92 HK",00092,158990119,HK92,6523482,BMG2033C1947
93,XHKG,Y,CS,3000,2000.0,0.75,120167.0,0093.HK,"93 HK",00093,G8760C109,HK93,6178859,BMG8760C1414
94,XHKG,Y,CS,3000,2000.0,0.72,400000.0,0094.HK,"94 HK",00094,9EQ2CZZY7,HK94,6564458,BMG4094L1054
95,XHKG,Y,CS,3000,4000.0,2.13,,0095.HK,"95 HK",00095,9HH1TNQM7,HK95,BR2X2H6,KYG5727E1035
96,XHKG,Y,CS,3000,2000.0,3.67,34667.0,0096.HK,"96 HK",00096,9HH06CLM3,HK96,B0M2MC9,KYG9883K1013
97,XHKG,Y,CS,3000,1000.0,0.64,2290101.0,0097.HK,"97 HK",00097,425990157,HK97,6972341,HK0097000571
98,XHKG,Y,CS,3000,1000.0,2.47,98811.0,0098.HK,"98 HK",00098,9HH0DYI41,HK98,B2Q1W15,KYG9828C1078
99,XHKG,Y,CS,3000,1000.0,2.70,,0099.HK,"99 HK",00099,9HH1IIMH5,HK99,BC7GXQ1,BMG9738G1078
100,XHKG,Y,CS,3000,1000.0,7.15,210120.0,0100.HK,"100 HK",00100,9HH00CKG3,HK100,6424303,BMG219901094
101,XHKG,Y,CS,3000,1000.0,14.48,8220595.0,0101.HK,"101 HK",00101,031990112,HK101,6030506,HK0101000591
102,XHKG,Y,CS,3000,2000.0,1.68,,0102.HK,"102 HK",00102,9HH1R0C10,HK102,BNC9DC8,
103,XHKG,Y,CS,3000,2000.0,0.20,357091.0,0103.HK,"103 HK",00103,276990900,HK103,6302294,HK0103000607
104,XHKG,Y,CS,3000,5000.0,0.23,,0104.HK,"104 HK",00104,9HH1E2PS7,HK104,B88C047,BMG0532V1761
105,XHKG,Y,CS,3000,2000.0,21.00,10500.0,0105.HK,"105 HK",00105,045990355,HK105,6058490,HK0105000613
106,XHKG,Y,CS,3000,4000.0,0.67,,0106.HK,"106 HK",00106,9HH1JLOZ5,HK106,BD673S4,BMG5391T1053
107,XHKG,Y,CS,3000,2000.0,2.59,1592036.0,0107.HK,"107 HK",00107,525996666,HK107,6055877,CNE100000494
108,XHKG,Y,CS,3000,2000.0,1.32,100000.0,0108.HK,"108 HK",00108,9EQ00D245,HK108,6151496,HK0108000628
109,XHKG,Y,CS,3000,10000.0,0.63,40000.0,0109.HK,"109 HK",00109,412998627,HK109,6539876,BMG4094B1072
110,XHKG,Y,CS,3000,2000.0,0.38,97500.0,0110.HK,"110 HK",00110,9HH01RAE5,HK110,6213794,BMG2154Z1059
111,XHKG,Y,CS,3000,2000.0,0.92,484072.0,0111.HK,"111 HK",00111,9HH000287,HK111,6279871,BMG2143M1082
112,XHKG,Y,CS,3000,2000.0,4.74,262971.0,0112.HK,"112 HK",00112,Y13637106,HK112,6614557,HK0112012916
113,XHKG,Y,CS,3000,500.0,2.40,393518.0,0113.HK,"113 HK",00113,253990121,HK113,6266851,BMG275871231
114,XHKG,Y,CS,3000,5000.0,1.08,230924.0,0114.HK,"114 HK",00114,Y31759106,HK114,6420572,BMG4410A1062
115,XHKG,Y,CS,3000,10000.0,0.25,,0115.HK,"115 HK",00115,9HH1PR7W1,HK115,BLLHFX4,BMG4054H1447
116,XHKG,Y,CS,3000,1000.0,12.88,2815272.0,0116.HK,"116 HK",00116,G2113M104,HK116,6193681,BMG2113M1203
117,XHKG,Y,CS,3000,2000.0,2.77,486909.0,0117.HK,"117 HK",00117,9HH0C9ST1,HK117,B29YJ87,KYG302931079
118,XHKG,Y,CS,3000,2000.0,0.48,272500.0,0118.HK,"118 HK",00118,123991523,HK118,6226394,HK0118000667
119,XHKG,Y,CS,3000,1000.0,1.99,21990801.0,0119.HK,"119 HK",00119,271999450,HK119,6220987,HK0119000674
120,XHKG,Y,CS,3000,20000.0,0.39,,0120.HK,"120 HK",00120,9HH1RPKC2,HK120,BP46DM1,KYG2445L1547
121,XHKG,Y,CS,3000,10000.0,0.15,729167.0,0121.HK,"121 HK",00121,Y17753107,HK121,6235572,KYG2500L1077
122,XHKG,Y,CS,3000,1000.0,0.74,932167.0,0122.HK,"122 HK",00122,156992562,HK122,6233424,HK0122000687
123,XHKG,Y,CS,3000,2000.0,0.97,12215689.0,0123.HK,"123 HK",00123,401990163,HK123,6392422,HK0123000694
124,XHKG,Y,CS,3000,2000.0,2.26,,0124.HK,"124 HK",00124,9HH1KNWP2,HK124,BFMPGH6,BMG4182K1009
125,XHKG,Y,CS,3000,2000.0,2.89,68875.0,0125.HK,"125 HK",00125,357992585,HK125,6155089,BMG8572F1005
126,XHKG,Y,CS,3000,2000.0,0.81,,0126.HK,"126 HK",00126,9HH1IGKC2,HK126,BBX4NB7,BMG1993G1042
127,XHKG,Y,CS,3000,500.0,18.42,119245.0,0127.HK,"127 HK",00127,169990116,HK127,6191180,BMG2108M2182
128,XHKG,Y,CS,3000,4000.0,0.38,959334.0,0128.HK,"128 HK",00128,822998548,HK128,6321501,HK0128011282
129,XHKG,Y,CS,3000,2000.0,1.26,1358166.0,0129.HK,"129 HK",00129,656352564,HK129,6054584,BMG0533U2355
130,XHKG,Y,CS,3000,2000.0,1.28,241833.0,0130.HK,"130 HK",00130,9HH00GQ03,HK130,6448552,KYG618641073
131,XHKG,Y,CS,3000,1000.0,5.21,11167.0,0131.HK,"131 HK",00131,9EQ00D286,HK131,6609854,HK0131037993
132,XHKG,Y,CS,3000,1000.0,0.75,250000.0,0132.HK,"132 HK",00132,9EQ00D294,HK132,6191588,BMG210751092
133,XHKG,Y,CS,3000,2000.0,10.96,67747.0,0133.HK,"133 HK",00133,169990504,HK133,6189204,HK0133000726
135,XHKG,Y,CS,3000,2000.0,6.18,12511587.0,0135.HK,"135 HK",00135,G6899Z106,HK135,6340078,BMG5320C1082
136,XHKG,Y,CS,3000,4000.0,0.32,,0136.HK,"136 HK",00136,9HH26G3D0,HK136,BZ5ZCC0,BMG587711901
137,XHKG,Y,CS,3000,1000.0,0.96,156818.0,0137.HK,"137 HK",00137,471992503,HK137,B095BB3,HK0137031065
138,XHKG,Y,CS,3000,2000.0,0.97,,0138.HK,"138 HK",00138,9HH1JJOZ0,HK138,BD5GJ51,BMG1987Y1030
139,XHKG,Y,CS,3000,14000.0,0.28,,0139.HK,"139 HK",00139,9HH25K1P7,HK139,BZBGB31,BMG2118J1062
141,XHKG,Y,CS,3000,2000.0,8.05,31500.0,0141.HK,"141 HK",00141,9EQ00D2A1,HK141,6482301,HK0141000759
142,XHKG,Y,CS,3000,2000.0,4.75,3697228.0,0142.HK,"142 HK",00142,336990122,HK142,6339872,BMG348041077
143,XHKG,Y,CS,3000,2000.0,0.21,1054222.0,0143.HK,"143 HK",00143,926994211,HK143,6383158,KYG3932J1572
144,XHKG,Y,CS,3000,2000.0,21.60,6986251.0,0144.HK,"144 HK",00144,405990235,HK144,6416139,HK0144000764
145,XHKG,Y,CS,3000,8000.0,0.26,,0145.HK,"145 HK",00145,9HH1DB1L9,HK145,B98D0Y7,HK0000134079
146,XHKG,Y,CS,3000,1000.0,1.94,59500.0,0146.HK,"146 HK",00146,267993210,HK146,6871750,BMG8659F1068
147,XHKG,Y,CS,3000,5000.0,0.53,300000.0,0147.HK,"147 HK",00147,800914301,HK147,6382672,BMG2054H1227
148,XHKG,Y,CS,3000,500.0,15.70,1261962.0,0148.HK,"148 HK",00148,428995609,HK148,6491318,KYG525621408
149,XHKG,Y,CS,3000,5000.0,0.45,,0149.HK,"149 HK",00149,9HH28ATD3,HK149,BDJ0G70,BMG2150P2343
151,XHKG,Y,CS,3000,1000.0,5.47,16022977.0,0151.HK,"151 HK",00151,9HH0DHIS5,HK151,B2Q14Z3,KYG9431R1039
152,XHKG,Y,CS,3000,500.0,11.58,,0152.HK,"152 HK",00152,9HH1O0LP0,HK152,BJVBTY1,BMG8086V1467
153,XHKG,Y,CS,3000,2000.0,0.58,,0153.HK,"153 HK",00153,9HH1KZ2Y9,HK153,BG3DV37,KYG2119L1005
154,XHKG,Y,CS,3000,1000.0,1.54,607444.0,0154.HK,"154 HK",00154,215996471,HK154,6435639,HK0154000803
155,XHKG,Y,CS,3000,10000.0,,,0155.HK,"155 HK",00155,9HH1HA400,HK155,B986Z29,BMG2111R1705
156,XHKG,Y,CS,3000,10000.0,0.24,1785818.0,0156.HK,"156 HK",00156,268990124,HK156,6307460,HK0156000819
157,XHKG,Y,CS,3000,10000.0,0.85,234773.0,0157.HK,"157 HK",00157,9HH00IGG5,HK157,6517957,KYG640061027
158,XHKG,Y,CS,3000,500.0,138.30,2786.0,0158.HK,"158 HK",00158,812136307,HK158,6576691,HK0158000825
159,XHKG,Y,CS,3000,4000.0,0.10,,0159.HK,"159 HK",00159,9HH1BGRR9,HK159,B75CYF2,BMG1739E1084
160,XHKG,Y,CS,3000,2000.0,2.90,141208.0,0160.HK,"160 HK",00160,9EQ2MZAH0,HK160,6591832,HK0160011786
161,XHKG,Y,CS,3000,2000.0,3.77,387583.0,0161.HK,"161 HK",00161,123998510,HK161,6052618,CNE1000002B4
162,XHKG,Y,CS,3000,2000.0,0.79,,0162.HK,"162 HK",00162,9HH1DOWS2,HK162,B94GGD1,BMG2021K1172
163,XHKG,Y,CS,3000,2000.0,1.51,3816432.0,0163.HK,"163 HK",00163,321998130,HK163,B05GWV7,BMG3036C2239
164,XHKG,Y,CS,3000,25000.0,0.28,,0164.HK,"164 HK",00164,9HH1VHIP9,HK164,BSZLMH4,BMG4421M1073
165,XHKG,Y,CS,3000,2000.0,14.50,3731087.0,0165.HK,"165 HK",00165,669901019,HK165,6455143,HK0165000859
166,XHKG,Y,CS,3000,2000.0,0.17,,0166.HK,"166 HK",00166,9HH1T1PS3,HK166,BQSPH18,BMG6488Q1454
167,XHKG,Y,CS,3000,2000.0,0.25,1099714.0,0167.HK,"167 HK",00167,213999113,HK167,6465186,BMG4705P1077
168,XHKG,Y,CS,3000,2000.0,27.95,1194165.0,0168.HK,"168 HK",00168,9EQ0H4CV6,HK168,6905808,CNE1000004K1
169,XHKG,Y,CS,3000,1000.0,0.73,,0169.HK,"169 HK",00169,9HH1TZRZ0,HK169,BRTF6T5,BMG9430N1039
170,XHKG,Y,CS,3000,5000.0,4.00,15000.0,0170.HK,"170 HK",00170,169990215,HK170,6191599,HK0170000860
171,XHKG,Y,CS,3000,2000.0,0.84,2592403.0,0171.HK,"171 HK",00171,799921408,HK171,6460222,HK0171000877
172,XHKG,Y,CS,3000,10000.0,0.27,1341667.0,0172.HK,"172 HK",00172,632992343,HK172,6565592,HK0172012327
173,XHKG,Y,CS,3000,1000.0,3.79,3367815.0,0173.HK,"173 HK",00173,482990298,HK173,6480082,BMG5321P1169
174,XHKG,Y,CS,3000,2000.0,0.96,274286.0,0174.HK,"174 HK",00174,329811368,HK174,6486875,HK0174000890
175,XHKG,Y,CS,3000,5000.0,3.87,23635827.0,0175.HK,"175 HK",00175,321009870,HK175,6531827,KYG3777B1032
176,XHKG,Y,CS,3000,2000.0,0.46,148500.0,0176.HK,"176 HK",00176,123225427,HK176,6015213,BMG925951003
177,XHKG,Y,CS,3000,2000.0,10.54,3500203.0,0177.HK,"177 HK",00177,801990011,HK177,6005504,CNE1000003J5
178,XHKG,Y,CS,3000,2000.0,2.31,14108270.0,0178.HK,"178 HK",00178,616994224,HK178,6003401,KYG7814S1021
179,XHKG,Y,CS,3000,500.0,19.64,,0179.HK,"179 HK",00179,9HH1RUYP7,HK179,BP4JH17,
180,XHKG,Y,CS,3000,2000.0,0.71,18400.0,0180.HK,"180 HK",00180,482990413,HK180,6480736,BMG5206W1038
181,XHKG,Y,CS,3000,20000.0,0.42,260000.0,0181.HK,"181 HK",00181,482990355,HK181,B011BK8,HK0181013399
182,XHKG,Y,CS,3000,10000.0,0.41,,0182.HK,"182 HK",00182,9HH1YGY21,HK182,BVXTWR1,BMG2345T1099
183,XHKG,Y,CS,3000,8000.0,0.22,,0183.HK,"183 HK",00183,9HH1ZCOL8,HK183,BWTW345,KYG9704H1056
184,XHKG,Y,CS,3000,2000.0,6.41,74250.0,0184.HK,"184 HK",00184,9EQ00D2B9,HK184,6486682,HK0184000948
185,XHKG,Y,CS,3000,10000.0,0.23,1880286.0,0185.HK,"185 HK",00185,Y31747101,HK185,B1VL1X8,HK0185013379
186,XHKG,Y,CS,3000,30000.0,0.41,172000.0,0186.HK,"186 HK",00186,390990273,HK186,6381260,BMG4055L1283
187,XHKG,Y,CS,3000,2000.0,2.93,84400.0,0187.HK,"187 HK",00187,075991109,HK187,6089531,CNE100000270
188,XHKG,Y,CS,3000,10000.0,0.13,581143.0,0188.HK,"188 HK",00188,562992305,HK188,B4RCFJ0,BMG8587P1014
189,XHKG,Y,CS,3000,1000.0,1.37,18545359.0,0189.HK,"189 HK",00189,9HH0C2PV4,HK189,B29MXW3,KYG2816P1072
190,XHKG,Y,CS,3000,1000.0,0.14,14092851.0,0190.HK,"190 HK",00190,501990352,HK190,6498018,BMG4516H1209
191,XHKG,Y,CS,3000,5000.0,0.96,,0191.HK,"191 HK",00191,9HH27G8I3,HK191,BD96593,HK0000277308
193,XHKG,Y,CS,3000,15000.0,0.08,2086336.0,0193.HK,"193 HK",00193,414997452,HK193,B0TP5H7,HK0000063625
194,XHKG,Y,CS,3000,2000.0,8.82,74200.0,0194.HK,"194 HK",00194,538990201,HK194,6520289,HK0194000995
195,XHKG,Y,CS,3000,10000.0,0.18,,0195.HK,"195 HK",00195,9HH1DFW36,HK195,B8522C2,KYG5726N1043
196,XHKG,Y,CS,3000,1000.0,0.35,757603.0,0196.HK,"196 HK",00196,9HH0DFR18,HK196,B2PQF34,KYG4584R1092
197,XHKG,Y,CS,3000,5000.0,0.37,,0197.HK,"197 HK",00197,9HH28H668,HK197,BDCN524,KYG440351149
198,XHKG,Y,CS,3000,4000.0,0.71,,0198.HK,"198 HK",00198,9HH1UWH11,HK198,BSBLMB2,BMG8229F1077
199,XHKG,Y,CS,3000,1000.0,3.08,,0199.HK,"199 HK",00199,9HH1G3787,HK199,B9CJ245,BMG4984N1618
200,XHKG,Y,CS,3000,1000.0,8.78,17373023.0,0200.HK,"200 HK",00200,9EQ28DNJ7,HK200,B092QP3,HK0200030994
201,XHKG,Y,CS,3000,2000.0,0.18,438800.0,0201.HK,"201 HK",00201,710993031,HK201,6555087,HK0201008726
202,XHKG,Y,CS,3000,5000.0,0.25,12360444.0,0202.HK,"202 HK",00202,9EQ00DCM4,HK202,6285607,HK0000062734
204,XHKG,Y,CS,3000,20000.0,0.12,,0204.HK,"204 HK",00204,9HH1WMFP0,HK204,BTKCPF8,BMG2115B1147
205,XHKG,Y,CS,3000,20000.0,0.12,,0205.HK,"205 HK",00205,9HH26PG87,HK205,BD60YC4,
206,XHKG,Y,CS,3000,1000.0,1.16,352833.0,0206.HK,"206 HK",00206,9HH06RBX7,HK206,B0R5JK0,KYG9112Q1010
207,XHKG,Y,CS,3000,2000.0,1.04,,0207.HK,"207 HK",00207,9HH1WOAE6,HK207,BVFNDJ0,BMG5210S1061
208,XHKG,Y,CS,3000,5000.0,0.58,8016565.0,0208.HK,"208 HK",00208,9EQ2I1EV5,HK208,B00ZKH1,KYG716591170
209,XHKG,Y,CS,3000,4000.0,0.26,,0209.HK,"209 HK",00209,9HH2ATVB0,HK209,BZ1CY30,BMG9723F1068
210,XHKG,Y,CS,3000,2000.0,1.21,2715049.0,0210.HK,"210 HK",00210,216997387,HK210,6704351,KYG2830J1031
211,XHKG,Y,CS,3000,10000.0,0.36,0.0,0211.HK,"211 HK",00211,351998539,HK211,6312572,BMG8540A1678
212,XHKG,Y,CS,3000,500.0,41.35,13917.0,0212.HK,"212 HK",00212,652998105,HK212,6621610,BMG6362N1011
213,XHKG,Y,CS,3000,2000.0,0.89,128945.0,0213.HK,"213 HK",00213,412998544,HK213,6625515,BMG6374F1041
